,loss,acc,f1
0,0.0039257487654685,84.75,84.94
1,0.0045703756809234,79.5,79.8
2,0.003697965145111,84.0,82.8
3,0.0027382156252861,82.5,82.67
4,0.0037335599213838,84.75,85.51
mean,0.0037331730276346,83.1,83.14
std,0.0006574902422551,2.21,2.25
