,loss,acc,f1
0,0.005670280754566192,0.71,0.7070707070707072
1,0.005006038397550583,0.67,0.6886792452830188
2,0.0030389700829982756,0.7,0.6666666666666665
3,0.003026784956455231,0.695,0.6648351648351648
4,0.0037907353043556214,0.6975,0.6997518610421837
mean,0.00410656189918518,0.6945,0.6854007289795482
std,0.0011895053173302667,0.014832396974191297,0.019106276000455447
