,fit_time,score_time,test_accuracy,test_f1
0,0.007039070129394531,0.0022912025451660156,0.8125,0.810126582278481
1,0.006242990493774414,0.002053976058959961,0.8275,0.8261964735516373
2,0.005444049835205078,0.002074003219604492,0.8075,0.80306905370844
3,0.0054531097412109375,0.0020837783813476562,0.8325,0.830379746835443
4,0.005436897277832031,0.002056121826171875,0.7925,0.785529715762274
mean,0.005923223495483398,0.00211181640625,0.8145,0.811060314427255
std,0.0007131781285630203,0.00010104794256270079,0.01604680653588123,0.018158244363148276
