,loss,acc,f1
0,0.0261398249369813,94.0,94.26
1,0.034594029016298,94.0,94.0
2,0.0303847769975254,95.0,95.07
3,0.026616338994354,94.25,94.4
4,0.030003601789358,93.0,92.93
mean,0.0295477143469033,94.05,94.13
std,0.0034124943469401,0.72,0.78
