,loss,acc,f1
0,0.007169007062911987,0.675,0.6782178217821783
1,0.005757200121879577,0.605,0.6108374384236454
2,0.005493912547826767,0.62,0.6328502415458938
3,0.011484960615634919,0.6225,0.6057441253263708
4,0.007440201044082642,0.6075,0.5602240896358543
mean,0.007469056278467179,0.626,0.6175747433427885
std,0.0024005204674780603,0.028427539464399673,0.04296910543866264
