,loss,acc,f1
0,0.028459394572419115,0.94,0.9408866995073892
1,0.023444606033153834,0.9425,0.9408740359897171
2,0.034108216066961176,0.9425,0.9402597402597402
3,0.022344539598707344,0.96,0.96
4,0.02751593020380824,0.9475,0.9468354430379747
mean,0.02717453729500994,0.9465,0.9457711837589642
std,0.004665955786828572,0.008023403267940602,0.008393570628120477
