,loss,acc,f1
0,0.0032142859697341,77.5,78.87
1,0.0037495179474353,73.0,68.05
2,0.0039005501568317,79.75,80.48
3,0.004469399601221,78.25,80.09
4,0.0029621192812919,84.75,85.44
mean,0.0036591745913028,78.65,78.59
std,0.0005930220575881,4.24,6.4
