,loss,acc,f1
0,0.002099953144788742,0.845,0.8393782383419689
1,0.002279525771737099,0.8375,0.8426150121065376
2,0.0019913524389266967,0.83,0.8316831683168315
3,0.0019193993508815766,0.8375,0.8311688311688312
4,0.0021823017299175264,0.8,0.8245614035087719
mean,0.002094506487250328,0.8300000000000001,0.8338813306885884
std,0.00014428537108638926,0.01758905909933784,0.007168399384702203
