,loss,acc,f1
0,0.0024026498198509217,0.785,0.7860696517412936
1,0.0022941526770591737,0.7875,0.7837150127226463
2,0.00228743351995945,0.7825,0.7830423940149626
3,0.0023117271810770036,0.7925,0.785529715762274
4,0.0023965396732091903,0.7875,0.7645429362880884
mean,0.0023385005742311477,0.787,0.780579942105853
std,5.651339956222772e-05,0.0037080992435478276,0.009051451042612195
