,loss,acc,f1
0,0.0016569510847330093,0.91,0.9090909090909091
1,0.0014656232297420501,0.8975,0.8956743002544529
2,0.0014640309661626816,0.8875,0.8825065274151436
3,0.0033685716986656187,0.8775,0.8796068796068797
4,0.0024646666646003725,0.9175,0.9177057356608479
mean,0.0020839687287807465,0.898,0.8969168704056466
std,0.0008282743752229307,0.01624038176891174,0.016501680851106926
