,loss,acc,f1
0,0.001682705283164978,0.875,0.8798076923076923
1,0.0018195922672748566,0.835,0.841346153846154
2,0.0017672409117221832,0.8525,0.8498727735368956
3,0.001935138776898384,0.845,0.8442211055276383
4,0.0017096088081598282,0.865,0.8615384615384616
mean,0.001782857209444046,0.8545,0.8553572373513685
std,0.00010022318300027023,0.01585086748414737,0.015703785501752256
