,loss,acc,f1
0,0.0011578183993697167,0.899,0.8979797979797979
1,0.0025394072383642195,0.9065,0.9049313675648196
2,0.0021153956800699235,0.9055,0.9056415376934598
3,0.0020752432644367217,0.8895,0.8870720490546755
4,0.0010019488260149957,0.907,0.9070929070929071
mean,0.0017779626816511154,0.9015000000000001,0.9005435318771319
std,0.0006649832744620012,0.007441438033068621,0.008309492493145214
