,loss,acc,f1
0,0.0011424683108925819,0.905,0.9059405940594061
1,0.0012084540724754333,0.9085,0.9089099054255848
2,0.0010952456444501878,0.897,0.8986220472440944
3,0.0012327394858002662,0.906,0.9078431372549018
4,0.00125274271517992,0.904,0.9027355623100304
mean,0.001186330045759678,0.9041,0.9048102492588036
std,6.571562084082914e-05,0.004306971093471596,0.004179755966597016
