,loss,acc,f1
0,0.0017741919909603893,0.9695,0.9692074709742554
1,0.0016451793881133198,0.971,0.9708249496981891
2,0.0020017695439746605,0.972,0.9722772277227723
3,0.0014387118448503315,0.972,0.9720837487537388
4,0.001906649879179895,0.968,0.9685966633954857
mean,0.0017533005294157193,0.9705,0.9705980121088883
std,0.00022155447924132214,0.0017320508075688707,0.0016596445737676398
