,loss,acc,f1
0,0.009965893601176504,0.969,0.9691848906560636
1,0.01429713830268156,0.9655,0.9658922392486406
2,0.007605374164617387,0.965,0.9651046859421735
3,0.01157715638733498,0.9655,0.96575682382134
4,0.006204998481553048,0.97,0.9702085402184707
mean,0.009930112187472697,0.967,0.9672294359773377
std,0.003204131356300896,0.00231840462387391,0.002300549360764098
