,loss,acc,f1
0,0.0010587165355682,91.65,91.63
1,0.0010649996846914,91.0,90.81
2,0.0012213078290224,90.9,90.81
3,0.0011878815889358,90.65,90.81
4,0.0012081916928291,90.9,90.87
mean,0.0011482194662094,91.02,90.99
std,7.9762095247113e-05,0.38,0.36
