,loss,acc,f1
0,0.0009989035353064537,0.926,0.9262213359920239
1,0.0010414514690637589,0.9265,0.9263895843765648
2,0.0010918273031711577,0.914,0.9133064516129032
3,0.000913146249949932,0.9185,0.9191066997518611
4,0.0008829494416713714,0.916,0.9143730886850153
mean,0.0009856555998325348,0.9202,0.9198794320836736
std,8.713104807133496e-05,0.005751086853804238,0.006259449520706486
