,loss,acc,f1
0,0.0020448533743619,93.15,93.15
1,0.0017304177582263,93.5,93.46
2,0.0015270316153764,92.85,92.94
3,0.0009884967952966,92.95,93.0
4,0.0009895350411534,92.9,92.8
mean,0.0014560669168829,93.07,93.07
std,0.0004645556142058,0.27,0.25
