,loss,acc,f1
0,0.0019865066111087,88.8,88.56
1,0.0023498819172382,90.05,90.34
2,0.0024159393310546,90.6,90.71
3,0.0012817370593547,89.3,89.48
4,0.0028913185894489,88.65,88.63
mean,0.002185076701641,89.48,89.55
std,0.0005988924166789,0.83,0.98
