,loss,acc,f1
0,0.0018273831158876418,0.8575,0.858560794044665
1,0.002151183560490608,0.8025,0.7958656330749354
2,0.0022182966768741607,0.8075,0.7946666666666666
3,0.00189987413585186,0.8425,0.8452088452088452
4,0.0018705908209085465,0.8475,0.8493827160493828
mean,0.0019934656620025633,0.8315000000000001,0.8287369310088991
std,0.00017809051997284294,0.024849547279578377,0.030936791785580207
