,loss,acc,f1
0,0.0036270202696323,80.0,79.8
1,0.0029121349751949,78.0,76.72
2,0.0033293144404888,80.75,81.53
3,0.0025210571289062,80.75,81.17
4,0.0030901468545198,81.0,82.08
mean,0.0030959347337484,80.1,80.26
std,0.0004185743796754,1.23,2.15
