,loss,acc,f1
0,0.0014331078156828,87.5,88.15
1,0.0015844304859638,86.75,87.29
2,0.0016564880311489,85.0,85.0
3,0.0019988477230072,85.25,84.91
4,0.0015388952940702,88.5,88.78
mean,0.0016423538699746,86.6,86.83
std,0.0002151338817702,1.49,1.79
