,loss,acc,f1
0,0.0210047447518445,96.0,95.94
1,0.024152358892752,95.0,95.0
2,0.0149133837212866,97.0,96.94
3,0.020667089621711,95.5,95.5
4,0.0305623600294347,95.0,94.87
mean,0.0222599874034058,95.7,95.65
std,0.0057139304378527,0.84,0.84
