,loss,acc,f1
0,0.003134423941373825,0.845,0.8502415458937198
1,0.002193002626299858,0.8625,0.8628428927680798
2,0.003318028301000595,0.8425,0.847457627118644
3,0.003838495910167694,0.83,0.8349514563106797
4,0.004132995754480362,0.835,0.8341708542713568
mean,0.0033233893066644668,0.843,0.845932875272496
std,0.0007473801091353343,0.01242477363978921,0.011893011633535643
