,loss,acc,f1
0,0.0257356293947668,94.75,94.87
1,0.0157837806129828,95.75,95.7
2,0.0168636143475305,95.25,95.14
3,0.0220091596478596,94.75,94.79
4,0.0217291707469848,94.5,94.47
mean,0.0204242709500249,95.0,94.99
std,0.0040815925262766,0.5,0.46
