,loss,acc,f1
0,0.0415482613864878,94.0,94.0
1,0.0330026869379435,95.5,95.57
2,0.0274774455014267,95.25,95.19
3,0.0305946809678425,95.0,95.1
4,0.0146899853949435,96.5,96.5
mean,0.0294626120377288,95.25,95.27
std,0.0097730242843093,0.9,0.9
