,loss,acc,f1
0,0.0065748655796051,0.655,0.6584158415841584
1,0.0082765680551528,0.6775,0.6717557251908398
2,0.0076645141839981,0.625,0.6445497630331753
3,0.0084353700280189,0.6275,0.6169665809768637
4,0.0085468727350235,0.6575,0.6791569086651054
mean,0.00789963811635968,0.6485,0.6541689638900285
std,0.0008152151631983218,0.02212182180562895,0.024638759337805148
