,loss,acc,f1
0,0.0011209942772984,91.0,91.26
1,0.0015339954569935,91.25,91.48
2,0.0014266495034098,89.25,89.43
3,0.0031091101467609,87.75,87.47
4,0.0029622155427932,90.0,89.95
mean,0.0020305929854512,89.85,89.92
std,0.0009313761996679,1.42,1.62
