,loss,acc,f1
0,0.0021794826537370683,0.8125,0.8166259168704156
1,0.002260357216000557,0.805,0.8194444444444444
2,0.0022380377352237703,0.805,0.8078817733990147
3,0.0020877928286790848,0.815,0.8112244897959185
4,0.0021621157974004747,0.825,0.8292682926829269
mean,0.0021855572462081913,0.8125,0.8168889834385441
std,6.799544238210682e-05,0.008291561975888456,0.008262312074467267
