,fit_time,score_time,test_accuracy,test_f1
0,0.003713846206665039,0.0022199153900146484,0.9175,0.9183572488866898
1,0.003343820571899414,0.001971006393432617,0.918,0.9196865817825661
2,0.0034580230712890625,0.0019352436065673828,0.9275,0.9288168875797741
3,0.003531932830810547,0.001894235610961914,0.9275,0.9284657128761717
4,0.0032498836517333984,0.0018546581268310547,0.9105,0.9113422486379396
mean,0.0034595012664794924,0.0019750118255615233,0.9202,0.9213337359526284
std,0.00017836860197413196,0.00014368813473413327,0.00729383301152419,0.007386898266289606
